MEETING_ID,MEETING_TYPE,RECORD_TYPE,MEETING_DATE,MEETING_TIME,MEETING_LOCATION
1179,Executive Committee,Minutes,02/18/2014 12:00:00 AM,9:30 AM,River Valley Room
1180,Community Services Committee,Minutes,02/19/2014 12:00:00 AM,9:30 am,River Valley Room
1325,Special Executive Committee,Minutes,02/20/2014 12:00:00 AM,1:30 PM,Councillors' Boardroom
1183,City Council Public Hearing,Minutes,02/24/2014 12:00:00 AM,1:30 pm,Council Chamber
1185,City Council,Minutes,02/25/2014 12:00:00 AM,9:30 am,Council Chamber
1186,Community Standards and Licence Appeal Committee,Minutes,02/27/2014 12:00:00 AM,9:30 AM,Churchill Building
1187,Community Services Committee,Minutes,03/03/2014 12:00:00 AM,9:30 am,River Valley Room
1188,Executive Committee,Minutes,03/04/2014 12:00:00 AM,9:30 AM,River Valley Room
1189,Transportation Committee,Minutes,03/05/2014 12:00:00 AM,9:30 am,River Valley Room
1191,City Council Public Hearing,Minutes,03/10/2014 12:00:00 AM,1:30 pm,Council Chamber
1192,City Council,Minutes,03/11/2014 12:00:00 AM,9:30 am,Heritage Room
1193,City Council,Minutes,03/12/2014 12:00:00 AM,9:30 am,Council Chamber
1329,CM and CA Performance Review Committee,Minutes,03/13/2014 12:00:00 AM,11:30 AM,OCC Boardroom
1195,Community Services Committee,Minutes,03/17/2014 12:00:00 AM,9:30 am,River Valley Room
1196,Executive Committee,Minutes,03/18/2014 12:00:00 AM,9:30 AM,River Valley Room
1197,Transportation Committee,Minutes,03/19/2014 12:00:00 AM,9:30 am,River Valley Room
1327,City Council,Past,03/22/2014 12:00:00 AM,9:30 am,Council Chamber
1199,City Council Public Hearing,Minutes,03/24/2014 12:00:00 AM,1:30 pm,Council Chamber
1247,LRT Governance Board Committee,Minutes,03/25/2014 12:00:00 AM,10:30 AM,River Valley Room
1200,City Council,Minutes,03/26/2014 12:00:00 AM,9:30 am,Council Chamber
1201,Community Standards and Licence Appeal Committee,Minutes,03/27/2014 12:00:00 AM,9:30 AM,Churcill Building
1202,Community Services Committee,Minutes,04/07/2014 12:00:00 AM,9:30 am,River Valley Room
1203,Executive Committee,Minutes,04/08/2014 12:00:00 AM,9:30 AM,River Valley Room
1204,Transportation Committee,Minutes,04/09/2014 12:00:00 AM,9:30 am,River Valley Room
1322,Special City Council,Minutes,04/10/2014 12:00:00 AM,1:30 PM,Councillors' Boardroom
1207,City Council Public Hearing,Minutes,04/14/2014 12:00:00 AM,1:30 pm,Council Chamber
1208,City Council,Minutes,04/15/2014 12:00:00 AM,9:30 am,Council Chamber
1332,Special Community Services Committee,Minutes,04/17/2014 12:00:00 AM,1:30 PM,Councillors' Boardroom
1137,LRT Governance Board Committee,Minutes,04/17/2014 12:00:00 AM,10:30 AM,River Valley Room
1210,Executive Committee,Minutes,04/22/2014 12:00:00 AM,9:30 AM,River Valley Room
1211,Community Services Committee,Minutes,04/23/2014 12:00:00 AM,1:30 PM,River Valley Room
1212,Transportation Committee,Past,04/23/2014 12:00:00 AM,9:30 am,River Valley Room
1206,Audit Committee,Minutes,04/24/2014 12:00:00 AM,1:30 PM,River Valley Room
1194,Utility Committee,Minutes,04/25/2014 12:00:00 AM,9:30 AM,River Valley Room
1214,City Council Public Hearing,Minutes,04/28/2014 12:00:00 AM,1:30 PM,Council Chamber
1215,City Council,Minutes,04/29/2014 12:00:00 AM,9:30 am,Council Chamber
